key,en,ms,zh,rojak
common.save,Save,Simpan,保存,
common.cancel,Cancel,Batal,取消,
common.submit,Submit,Hantar,提交,
common.back,Back,Kembali,返回,
common.next,Next,Seterusnya,下一步,
common.close,Close,Tutup,关闭,
common.delete,Delete,Padam,删除,
common.edit,Edit,Sunting,编辑,
common.loading,Loading...,Memuatkan...,加载中...,
common.error,Error,Ralat,错误,
common.retry,Retry,Cuba lagi,重试,
common.confirm,Confirm,Sahkan,确认,
common.search,Search,Cari,搜索,
common.filter,Filter,Tapis,筛选,
common.clear,Clear,Kosongkan,清除,
common.noResults,No results,Tiada hasil,无结果,
nav.create,Create,Cipta,创建,
nav.dashboard,Dashboard,Papan Pemuka,仪表板,
nav.settings,Settings,Tetapan,设置,
nav.history,History,Sejarah,历史,
nav.ask,Ask,Tanya,询问,
nav.home,Home,Laman Utama,首页,
nav.guide,Guide,Panduan,指南,
nav.openApp,Open app,Buka aplikasi,打开应用,
landing.heroTitle,Not sure if e-invoicing applies to you? Start here.,Tidak pasti jika e-invois terpakai kepada anda? Mula di sini.,不确定电子发票是否适用于您？从这里开始。,
landing.heroSubtitle,Malaysian e-invoice made easy — snap, speak, submit.,E-invois Malaysia dipermudahkan — snap, sebut, hantar.,马来西亚电子发票，简单易用 — 拍照、说话、提交。,
landing.heroCtaScope,Am I in scope?,Adakah saya dalam skop?,我是否在范围内？,
landing.heroCtaCreate,Create an invoice,Cipta invois,创建发票,
landing.goToDashboard,Go to dashboard,Pergi ke papan pemuka,前往仪表板,
landing.feature1Title,Private & Local-First,Peribadi & Setempat-Dulu,隐私优先 & 本地优先,
landing.feature1Desc,Your invoice data never leaves your device unless you choose Drive backup.,Data invois anda tidak meninggalkan peranti anda melainkan anda memilih sandaran Drive.,您的发票数据不会离开设备，除非您选择云端备份。,
landing.feature2Title,MyInvois-Valid Output,Keluaran Sah-MyInvois,MyInvois 合规输出,
landing.feature2Desc,Full UBL 2.1 JSON format with QR code as required by IRBM.,Format JSON UBL 2.1 penuh dengan kod QR seperti dikehendaki oleh LHDNM.,完整的 UBL 2.1 JSON 格式及 QR 码，符合 IRBM 要求。,
landing.feature3Title,Free,Percuma,免费,
landing.feature3Desc,Free to use. No subscriptions, no hidden fees.,Percuma untuk digunakan. Tiada langganan, tiada yuran tersembunyi.,免费使用。无订阅，无隐藏费用。,
landing.painTitle,One path is painful. One is not.,Satu jalan menyakitkan. Satu lagi tidak.,一条路很痛苦。另一条不是。,
landing.portalTitle,The MyInvois Portal Way,Cara Portal MyInvois,MyInvois 门户方式,
landing.portalItem1,≈2000 classification codes to manually choose from,≈2000 kod klasifikasi untuk dipilih secara manual,≈2000 个分类代码需手动选择,
landing.portalItem2,5-step wizard with multiple screens per invoice,Wizard 5 langkah dengan pelbagai skrin setiap invois,每张发票需经过 5 步向导多屏操作,
landing.portalItem3,Manual buyer TIN validation,Pengesahan TIN pembeli secara manual,手动验证买家 TIN,
landing.portalItem4,7-day submission window pressure,Tekanan tempoh penghantaran 7 hari,7 天提交窗口的压力,
landing.senangTitle,The SenangInvoice Way,Cara SenangInvoice,SenangInvoice 方式,
landing.senangItem1,Snap, voice, or manual input in seconds,Snap, suara, atau input manual dalam beberapa saat,拍照、语音或手动输入，几秒完成,
landing.senangItem2,AI auto-classification matches your items,Pengelasan automatik AI memadankan item anda,AI 自动分类匹配您的项目,
landing.senangItem3,Single-click submit to MyInvois,Satu klik hantar ke MyInvois,一键提交至 MyInvois,
landing.senangItem4,QR code + PDF generated instantly,Kod QR + PDF dijana serta-merta,即时生成 QR 码 + PDF,
landing.guideTitle,Everything you need to know,Semua yang anda perlu tahu,您需要了解的一切,
landing.readyTitle,Ready to begin?,Sedia untuk bermula?,准备好开始了吗？,
landing.readySubtitle,Join thousands of Malaysian businesses submitting e-invoices the easy way.,Sertai ribuan perniagaan Malaysia yang menghantar e-invois dengan cara mudah.,加入成千上万家以简单方式提交电子发票的马来西亚企业。,
landing.firstInvoiceCta,Create your first invoice,Cipta invois pertama anda,创建您的第一张发票,
landing.fullGuideCta,Read the full guide,Baca panduan penuh,阅读完整指南,
landing.footerText,Local-first · Your data stays on your device,Setempat-dulu · Data anda kekal di peranti anda,本地优先 · 您的数据保留在您的设备上,
create.title,Create Invoice,Cipta Invois,创建发票,
create.subtitle,Snap a receipt, speak your items, or enter manually,Snap resit, sebut item anda, atau masukkan secara manual,拍照收据、说出您的项目或手动输入,
create.cameraTab,Camera,Kamera,相机,
create.voiceTab,Voice,Suara,语音,
create.manualTab,Manual,Manual,手动,
create.captureHint,Take a photo of your receipt,Ambil gambar resit anda,拍摄您的收据照片,
create.captureHint2,Tap to open camera, or drag an image here,Ketik untuk buka kamera, atau seret imej ke sini,点击打开相机，或拖拽图片到此处,
create.takePhoto,Take Photo,Ambil Gambar,拍照,
create.retakeCamera,Retake (Camera),Ambil Semula (Kamera),重拍（相机）,
create.retakeFile,Retake (File),Ambil Semula (Fail),重拍（文件）,
create.startScan,Start Scan,Mula Imbas,开始扫描,
create.speakItems,Speak your items,Sebut item anda,说出您的项目,
create.speakItemsHint,"Say e.g. ""2 nasi lemak at 5 ringgit each""","Sebut cth. ""2 nasi lemak pada 5 ringgit setiap satu""","例如说 ""2份椰浆饭，每份5令吉""",
create.startRecording,Start Recording,Mula Rakam,开始录音,
create.stop,Stop,Berhenti,停止,
create.listening,Listening...,Mendengar...,正在聆听...,
create.capture,Capture,Tangkap,拍摄,
create.lineItems,Line Items,Item Baris,行项目,
create.lineItemsCount,Line Items ({n}),Item Baris ({n}),行项目 ({n}),
create.editItems,Edit Items,Sunting Item,编辑项目,
create.editItemsHint,(click a row to expand),(klik baris untuk kembangkan),(点击行展开),
create.generateButton,Generate Invoice,Jana Invois,生成发票,
create.addLine,Add Line,Tambah Baris,添加行,
create.added,✓ Added,✓ Ditambah,✓ 已添加,
create.itemDescription,Item description,Penerangan item,项目描述,
create.qty,Qty,Kuantiti,数量,
create.unitPrice,Unit Price (RM),Harga Seunit (RM),单价 (RM),
create.extracting,Extracting line items...,Mengekstrak item baris...,正在提取行项目...,
create.error,{error}. Try again, or switch to Manual entry.,{error}. Cuba lagi, atau tukar ke entri Manual.,{error}。请重试，或切换到手动输入。,
dashboard.title,Senang Invoice,Senang Invoice,Senang Invoice,
dashboard.subtitle,Malaysian e-invoice made easy,E-invois Malaysia dipermudahkan,马来西亚电子发票，简单易用,
dashboard.invoices,Invoices,Invois,发票,
dashboard.validated,Validated,Disahkan,已验证,
dashboard.total,Total,Jumlah,总计,
dashboard.tabActive,Active,Aktif,活跃,Aktif
dashboard.tabArchived,Archived,Diarkib,已归档,Diarkib
dashboard.tabTrash,Trash,Sampah,回收站,Sampah
dashboard.searchPlaceholder,Search invoices...,Cari invois...,搜索发票...,
dashboard.sortDate,Date,Tarikh,日期,
dashboard.sortAmount,Amount,Jumlah,金额,
dashboard.sortBusiness,Business,Perniagaan,企业,
dashboard.today,Today,Hari ini,今天,
dashboard.thisMonth,This Month,Bulan ini,本月,
dashboard.clearFilter,Clear,Kosongkan,清除,
dashboard.noInvoices,No invoices yet,Belum ada invois,暂无发票,
dashboard.noInvoicesDesc,Create your first e-invoice to see it here.,Cipta e-invois pertama anda untuk melihatnya di sini.,创建您的第一张电子发票即可在此查看。,
dashboard.createInvoice,Create Invoice,Cipta Invois,创建发票,
settings.title,Settings,Tetapan,设置,
